sid,uid,pid,code_size,run_time,run_memory,when,score
324717,2659,562,1101,0,1748,2024-02-29 20:13:10.369957,100
324718,2599,562,830,0,1740,2024-02-29 20:13:18.113489,16
324719,2616,562,757,0,1752,2024-02-29 20:13:28.924125,100
324720,2532,562,1465,0,1728,2024-02-29 20:13:56.154826,66
324721,2599,562,829,0,1736,2024-02-29 20:14:02.623827,100
324722,2629,562,1270,0,0,2024-02-29 20:14:18.253625,0
324723,2532,562,1466,0,1740,2024-02-29 20:14:27.566796,66
324727,2629,562,1195,0,1808,2024-02-29 20:14:44.323025,0
324724,2177,577,426,0,1704,2024-02-29 20:14:34.607655,100
324725,2435,562,481,7,5512,2024-02-29 20:14:35.667037,0
324726,2443,562,1542,0,1752,2024-02-29 20:14:36.468264,100
324730,2552,562,747,0,1736,2024-02-29 20:15:13.825487,100
324731,2518,562,908,0,1736,2024-02-29 20:15:21.974751,0
324732,2481,568,1455,0,1788,2024-02-29 20:15:58.047736,100
